Item,Total_Production
Sugar cane Production tonnes,1.2236761926032814E11
Wheat Production tonnes,7.141454674075394E10
Maize Production tonnes,1.9005607022269997E10
Rice  Production  tonnes,1.78302523025628E10
Grapes  Production tonnes,1.724592507718902E10
Potatoes  Production tonnes,1.4855878778708996E10
Apples Production tonnes,9.904846898254974E9
Oranges  Production tonnes,8.102938212270023E9
Sunflower seed  Production tonnes,5.907034932376015E9
Bananas  Production  tonnes,5.230868889919007E9
Rye  Production tonnes,5.14576937348715E9
Sweet potatoes  Production tonnes,3.452222145317399E9
Tomatoes Production tonnes,3.1900504087460003E9
Soybeans  Production tonnes,3.158454945006997E9
Yams  Production tonnes,2.3645465575029945E9
Palm oil  Production tonnes,2.1317457987169976E9
Peas dry Production  tonnes,2.056894527503001E9
Meat chicken  Production tonnes,1.53532692379E9
Coffee green Production  tonnes,1.0637141073612003E9
Tea  Production  tonnes,7.898067587999982E8
Avocados Production tonnes,7.395091690059996E8
Cocoa beans Production tonnes,5.97561496050397E8
